;;;
ID;CCAA;Periodo;Tasa
01;Andalucía;2019T4;20,8
01;Andalucía;2019T3;21,83
01;Andalucía;2019T2;21,04
01;Andalucía;2019T1;21,08
02;Aragón;2019T4;9,93
02;Aragón;2019T3;9,69
02;Aragón;2019T2;9,98
02;Aragón;2019T1;10,5
03;Asturias, Principado de;2019T4;13,14
03;Asturias, Principado de;2019T3;14,43
03;Asturias, Principado de;2019T2;14,17
03;Asturias, Principado de;2019T1;15,03
04;Balears, Illes;2019T4;9,91
04;Balears, Illes;2019T3;8,18
04;Balears, Illes;2019T2;12,13
04;Balears, Illes;2019T1;17,06
05;Canarias;2019T4;18,78
05;Canarias;2019T3;21,19
05;Canarias;2019T2;21
05;Canarias;2019T1;21,03
06;Cantabria;2019T4;11,18
06;Cantabria;2019T3;8,73
06;Cantabria;2019T2;9,01
06;Cantabria;2019T1;12,2
07;Castilla y León;2019T4;11,2
07;Castilla y León;2019T3;11,18
07;Castilla y León;2019T2;11,76
07;Castilla y León;2019T1;12,42
08;Castilla - La Mancha;2019T4;16,56
08;Castilla - La Mancha;2019T3;16,1
08;Castilla - La Mancha;2019T2;16,42
08;Castilla - La Mancha;2019T1;15,74
09;Cataluña;2019T4;10,45
09;Cataluña;2019T3;10,87
09;Cataluña;2019T2;11,17
09;Cataluña;2019T1;11,64
10;Comunitat Valenciana;2019T4;14,13
10;Comunitat Valenciana;2019T3;13,91
10;Comunitat Valenciana;2019T2;14,3
10;Comunitat Valenciana;2019T1;14,11
11;Extremadura;2019T4;23,48
11;Extremadura;2019T3;19,68
11;Extremadura;2019T2;20,46
11;Extremadura;2019T1;22,52
12;Galicia;2019T4;11,74
12;Galicia;2019T3;11,49
12;Galicia;2019T2;11,33
12;Galicia;2019T1;12,47
13;Madrid, Comunidad de;2019T4;9,99
13;Madrid, Comunidad de;2019T3;10,26
13;Madrid, Comunidad de;2019T2;10,54
13;Madrid, Comunidad de;2019T1;11,7
14;Murcia, Región de;2019T4;16,08
14;Murcia, Región de;2019T3;14,16
14;Murcia, Región de;2019T2;13,36
14;Murcia, Región de;2019T1;15,12
15;Navarra, Comunidad Foral de;2019T4;9,01
15;Navarra, Comunidad Foral de;2019T3;8,19
15;Navarra, Comunidad Foral de;2019T2;7,58
15;Navarra, Comunidad Foral de;2019T1;8,19
16;País Vasco;2019T4;9,09
16;País Vasco;2019T3;9,26
16;País Vasco;2019T2;8,63
16;País Vasco;2019T1;9,62
17;Rioja, La;2019T4;9,89
17;Rioja, La;2019T3;8,99
17;Rioja, La;2019T2;9,86
17;Rioja, La;2019T1;11,1
18;Ceuta;2019T4;27,58
18;Ceuta;2019T3;28,76
18;Ceuta;2019T2;24,61
18;Ceuta;2019T1;22,31
19;Melilla;2019T4;26,81
19;Melilla;2019T3;28,99
19;Melilla;2019T2;26,21
19;Melilla;2019T1;25,92