Rank;Universidad;Number_student;Numb_students_per_Staff;International_Students;Teaching;Research;Citations;Industry_Income;International_Outlook;Score_Result
1;Universidad Pompeu Fabra;11.636;21,6;13 %;37,7;40,1;94,4;44,5;66,5;57,8
2;Universidad Autónoma de Barcelona;31.877;12,6;16 %;40,9;36,1;92,9;44,8;64,3;56,9
3;Universidad de Barcelona;46.214;11,8;10 %;37,3;32,5;87,6;41,2;54,7;52,4
4;Universidad de Navarra;10.833;13;22 %;30,4;27,9;80,3;85,5;65,1;48,6
5;Universidad Autónoma de Madrid;29.576;13,4;14 %;40,1;28,7;74,5;38,6;51,5;47,8
6;Universitat de València (Estudi General);50.311;14,9;12 %;24,6;20,8;70,8;37;47;39,3
7;Universidad Rovira i Virgili;12.411;12,3;11 %;23,7;21;67,6;36,6;51,1;38,4
8;Universidad Complutense de Madrid;62.624;19,7;13 %;35,4;28,9;47,2;36,1;44;37,7
9;Universidad abierta de Cataluña;22.962;84,5;2 %;16,5;14,2;74,2;35,8;40,2;35,4
10;Universidad Politécnica de Catalunya;25.484;10,6;16 %;23,7;17,2;56,9;41,2;59,1;34,8
11;Universidad de La Laguna;18.336;12,9;4 %;19,3;11,5;67,8;35,2;46,9;34
12;Universidad de Girona;13.906;19;14 %;18,9;18,2;57,6;37,4;53,9;33,4
13;Universitat de les Illes Balears;11.277;12,8;7 %;20,3;13,6;59,1;34,7;46,7;32,3
14;Universidad de Granada;56.044;15,4;10 %;19,4;20,9;52;35,6;48,1;32,2
15;Universidad Jaume I de Castellón;12.182;15,6;9 %;22,5;16,3;49,6;37,5;43,5;30,7
16;Universidad de Lleida;8.595;14,7;8 %;23,6;15,2;48,8;37,8;41,6;30,3
17;Universidad del País Vasco/Euskal Herriko Unibertsitatea;42.485;14,8;4 %;22;17,1;47,3;37,1;41,5;30
18;Universidad Miguel Hernández de Elche;13.591;20;5 %;30,3;12,7;45,4;38;34,2;30
19;Universidad de Santiago de Compostela;25.455;15,2;8 %;21,8;16,6;46,9;40,3;44,7;30
20;Universidad de Oviedo;21.663;12,7;3 %;16,8;15,2;54,8;38,5;34,4;29,6
21;Universidad de Salamanca;28.673;17,6;16 %;26,4;17,5;37,9;37;51,4;29,3
22;Universidad de Alcalá;17.793;12,9;18 %;18,5;15,7;43,2;42,5;59;28,7
23;Universidad Carlos III de Madrid;17.265;11;15 %;24,4;16,3;34,9;38,2;60,2;28,2
24;University of Deusto;9.209;21,8;11 %;21,5;17,6;39,6;38,1;45,7;28
25;Universidad Pablo de Olavide;12.113;14,4;18 %;21,5;14,2;42;35,2;50,2;28
26;Universidad de Sevilla;62.811;20,6;6 %;25,4;18,7;36,5;36,6;38,2;28
27;Universidad de Zaragoza;28.211;10,3;6 %;22;13,4;43,8;38,6;39,4;27,7
28;Universitat Politècnica de València;21.119;10;14 %;22,1;11,8;41,3;44,8;50;27,4
29;Universidad Politécnica de Madrid;40.592;14;13 %;22,6;14,9;37,7;42,4;49,1;27,3
30;Universidad de Córdoba;17.406;15,1;8 %;21,2;16,6;36,4;37,1;41,9;26,3
31;Universidad de Las Palmas de Gran Canaria;18.714;17,1;7 %;17,8;11,9;44,4;34,4;36,8;25,9
32;Universidad de Vigo;18.652;16,4;5 %;17,7;14,6;39,5;38,4;41,6;25,6
33;Universidad Rey Juan Carlos;42.079;25,2;11 %;18,6;10,8;40,9;36,7;45,5;25,4
34;Universidad de Cádiz;19.288;19,1;8 %;27;14,8;28,7;35,9;36,4;24,8
35;Universidad de Murcia;27.662;16,3;7 %;22,3;13,8;32,6;35,9;38,5;24,4
36;Universidad de Jaén;16.782;20,4;10 %;16,7;14,1;34,7;35,8;38,8;23,5
37;Universidad de Málaga;35.654;12,9;9 %;20,1;11,5;33,1;36,2;41,2;23,4
38;Universidad de A Coruña;14.962;11,4;3 %;20,3;13,7;32,5;36,3;31,6;23,2
39;Universidad de Alicante;27.207;18,4;9 %;20;14,8;28,7;37,1;41;23,1
40;Universidad de Castilla- La Mancha;23.530;13,8;6 %;16,6;12,5;32,7;36;37;22,2
41;Universidad de Burgos;7.369;13,4;3 %;20,8;12;25,7;37,5;34,2;21,1
42;Universidad de Almería;12.913;18,4;12 %;17,1;13,2;26,2;36,1;41,3;21
43;Universidad de Valladolid;23.232;12,3;6 %;21,7;11,8;23,1;38,1;37,7;20,8
44;Universidad Politécnica de Cartagena;4.749;10,6;6 %;22,6;11,1;23,3;37,9;32,4;20,5
45;Universidad de León;13.606;16,1;13 %;17,9;11,2;25,4;36,7;43,4;20,5