Posición;Nombre de la provincia;Comunidad autónoma;PIB (miles de €);PIB per cápita
;ESPAÑA;-;1.161.757.000;24.947
1º;Madrid;Madrid;221.432.620;34.041
2º;Barcelona;Cataluña;163.829.876;29.885
3º;Valencia;Comunidad Valenciana;57.719.399;22.882
4º;Sevilla;Andalucía;38.215.042;19.665
5º;Alicante;Comunidad Valenciana;35.061.866;19.066
6º;Vizcaya;País Vasco;35.045.965;30.901
7º;Islas Baleares;Islas Baleares;31.420.048;27.134
8º;Murcia;Región de Murcia;30.601.171;20.766
9º;Málaga;Andalucía;29.675.853;18.036
10º;La Coruña;Galicia;26.144.519;23.343
11º;Zaragoza;Aragón;25.996.273;27.011
12º;Tarragona;Cataluña;23.742.476;29.964
13º;Guipúzcoa;País Vasco;22.694.543;32.015
14º;Las Palmas;Islas Canarias;22.686.079;20.614
15º;Asturias;Asturias;22.639.845;21.981
16º;Santa Cruz de Tenerife;Islas Canarias;21.564.942;20.221
17º;Cádiz;Andalucía;21.512.851;17.343
18º;Gerona;Cataluña;21.429.506;28.674
19º;Pontevedra;Galicia;20.338.727;21.612
20º;Navarra;Navarra;19.554.577;30.508
21º;Granada;Andalucía;16.399.616;17.894
22º;Castellón;Comunidad Valenciana;14.980.861;26.351
23º;Almería;Andalucía;14.340.076;20.465
24º;Córdoba;Andalucía;14.152.384;17.964
25º;Valladolid;Castilla y León;13.279.457;25.482
26º;Cantabria;Cantabria;13.225.911;22.767
27º;Lérida;Cataluña;12.435.228;28.759
28º;Toledo;Castilla-La Mancha;12.360.668;18.022
29º;Álava;País Vasco;11.983.377;36.921
30º;Badajoz;Extremadura;11.925.105;17.637
31º;Jaén;Andalucía;11.159.995;17.465
32º;Ciudad Real;Castilla-La Mancha;10.391.326;20.771
33º;Huelva;Andalucía;10.006.993;19.185
34º;Burgos;Castilla y León;9.972.671;27.994
35º;León;Castilla y León;9.575.557;20.473
36º;La Rioja;La Rioja;8.287.052;26.528
37º;Albacete;Castilla-La Mancha;7.762.548;19.888
38º;Lugo;Galicia;7.661.522;23.049
39º;Cáceres;Extremadura;7.573.765;19.077
40º;Salamanca;Castilla y León;6.905.532;20.654
41º;Orense;Galicia;6.441.121;20.781
42º;Huesca;Aragón;6.336.201;28.910
43º;Guadalajara;Castilla-La Mancha;4.846.946;18.968
44º;Cuenca;Castilla-La Mancha;4.552.502;22.639
45º;Palencia;Castilla y León;4.137.425;25.508
46º;Zamora;Castilla y León;3.480.217;19.662
47º;Segovia;Castilla y León;3.464.392;22.428
48º;Teruel;Aragón;3.343.188;24.928
49º;Ávila;Castilla y León;3.138.951;19.555
50º;Soria;Castilla y León;2.292.878;24.445
51º;Ceuta;Ceuta;1.660.550;19.537
52º;Melilla;Melilla;1.520.977;17.934