CCAA;Coste minimo;Coste maximo ;Coste medio
Cataluña;1516,2;2371,8;1944
Madrid;1283,4;1568,4;1425,9
Navarra;975;1383;1179
Castilla y León;973,2;1724,4;1348,8
Rioja;876;1410,6;1143,3
Murcia;862,8;1006,8;934,8
País Vasco;844,8;1190,4;1017,6
Comunidad Valenciana;831,6;1269,6;1050,6
Aragón;822;1403,4;1112,7
Andalucía;757,2;727,2;742,2
Castilla la mancha;727,8;1132,2;930
Balears;695,4;1249,2;972,3
Asturias;690;1255,8;972,9
Cantabria;616,8;964,2;790,5
Canarias;610,8;941,4;776,1
Galicia;591;835,8;713,4